cid,start,content,trip,loctype,group
1,10/1/14 13:23,GASTech,38,Office,1
1,10/1/14 17:34,GASTech,39,Office,1
1,10/1/14 17:38,1,39,Residential,1
1,10/1/14 19:10,1,40,Residential,1
1,10/1/14 19:20,2,40,Residential,1
1,10/1/14 23:32,2,41,Residential,1
1,10/1/14 23:39,1,41,Residential,1
1,11/1/14 12:40,1,42,Residential,1
1,11/1/14 12:46,Hippokampos,42,Transacted,1
1,11/1/14 13:41,Hippokampos,43,Transacted,1
1,11/1/14 13:41,Albert Clothing,43,Transacted,1
1,11/1/14 15:36,Albert Clothing,44,Transacted,1
1,11/1/14 15:42,1,44,Residential,1
1,11/1/14 18:42,1,46,Residential,1
1,11/1/14 18:47,Shoppers Delight,46,Transacted,1
1,11/1/14 19:47,Shoppers Delight,47,Transacted,1
1,11/1/14 19:52,1,47,Residential,1
1,12/1/14 12:45,1,48,Residential,1
1,12/1/14 12:51,Hippokampos,48,Transacted,1
1,12/1/14 14:11,Hippokampos,49,Transacted,1
1,12/1/14 14:17,1,49,Residential,1
1,13/1/14 7:36,1,51,Residential,1
1,13/1/14 7:38,Hallowed Grounds,51,Transacted,1
1,13/1/14 8:11,Hallowed Grounds,52,Transacted,1
1,13/1/14 8:18,GASTech,52,Office,1
1,13/1/14 12:15,GASTech,53,Office,1
1,13/1/14 12:24,Hippokampos,53,Transacted,1
1,13/1/14 13:35,Hippokampos,54,Transacted,1
1,13/1/14 13:44,GASTech,54,Office,1
1,13/1/14 17:30,GASTech,55,Office,1
1,13/1/14 17:34,1,55,Residential,1
1,13/1/14 18:45,1,56,Residential,1
1,13/1/14 18:49,Ouzeri Elian,56,Transacted,1
1,13/1/14 19:56,Ouzeri Elian,57,Transacted,1
1,13/1/14 20:00,1,57,Residential,1
1,14/1/14 7:24,1,59,Residential,1
1,14/1/14 7:26,Hallowed Grounds,59,Transacted,1
1,14/1/14 8:04,Hallowed Grounds,60,Transacted,1
1,14/1/14 8:11,GASTech,60,Office,1
1,14/1/14 12:07,GASTech,61,Office,1
1,14/1/14 12:15,Kalami Kafenion,61,Transacted,1
1,14/1/14 13:22,Kalami Kafenion,62,Transacted,1
1,14/1/14 13:30,GASTech,62,Office,1
1,14/1/14 17:42,GASTech,63,Office,1
1,14/1/14 17:46,1,63,Residential,1
1,14/1/14 19:26,1,64,Residential,1
1,14/1/14 19:31,Ouzeri Elian,64,Transacted,1
1,14/1/14 21:15,Ouzeri Elian,65,Transacted,1
1,14/1/14 21:19,1,65,Residential,1
1,15/1/14 7:33,1,66,Residential,1
1,15/1/14 7:35,Hallowed Grounds,66,Transacted,1
1,15/1/14 7:59,Hallowed Grounds,67,Transacted,1
1,15/1/14 8:06,GASTech,67,Office,1
1,15/1/14 12:07,GASTech,68,Office,1
1,15/1/14 12:09,Ouzeri Elian,68,Transacted,1
1,15/1/14 13:29,Ouzeri Elian,69,Transacted,1
1,15/1/14 13:31,GASTech,69,Office,1
1,15/1/14 17:48,GASTech,70,Office,1
1,15/1/14 17:52,1,70,Residential,1
1,15/1/14 19:44,1,71,Residential,1
1,15/1/14 19:50,Ouzeri Elian,71,Transacted,1
1,15/1/14 20:40,Ouzeri Elian,72,Transacted,1
1,15/1/14 20:44,1,72,Residential,1
1,15/1/14 22:33,1,74,Residential,1
1,15/1/14 22:37,GASTech,74,Office,1
1,16/1/14 0:09,GASTech,75,Office,1
1,16/1/14 0:13,1,75,Residential,1
1,16/1/14 7:48,1,77,Residential,1
1,16/1/14 7:50,Hallowed Grounds,77,Transacted,1
1,16/1/14 8:10,Hallowed Grounds,78,Transacted,1
1,16/1/14 8:17,GASTech,78,Office,1
1,16/1/14 12:23,GASTech,79,Office,1
1,16/1/14 12:26,Guy Gyros,79,Transacted,1
1,16/1/14 13:34,Guy Gyros,80,Transacted,1
1,16/1/14 13:37,GASTech,80,Office,1
1,16/1/14 17:25,GASTech,81,Office,1
1,16/1/14 17:29,1,81,Residential,1
1,16/1/14 18:54,1,82,Residential,1
1,16/1/14 18:58,Ouzeri Elian,82,Transacted,1
1,16/1/14 20:35,Ouzeri Elian,83,Transacted,1
1,16/1/14 20:39,1,83,Residential,1
1,17/1/14 7:45,1,84,Residential,1
1,17/1/14 7:47,Hallowed Grounds,84,Transacted,1
1,17/1/14 8:05,Hallowed Grounds,85,Transacted,1
1,17/1/14 8:12,GASTech,85,Office,1
1,17/1/14 17:52,GASTech,86,Office,1
1,17/1/14 17:56,1,86,Residential,1
1,17/1/14 19:35,1,87,Residential,1
1,17/1/14 19:39,Ouzeri Elian,87,Transacted,1
1,17/1/14 20:31,Ouzeri Elian,88,Transacted,1
1,17/1/14 20:33,GASTech,88,Office,1
1,17/1/14 22:41,GASTech,89,Office,1
1,17/1/14 22:45,1,89,Residential,1
1,18/1/14 12:48,1,91,Residential,1
1,18/1/14 12:55,Abila Zacharo,91,Transacted,1
1,18/1/14 13:36,Abila Zacharo,92,Transacted,1
1,18/1/14 13:36,Kronos Mart,92,Transacted,1
1,18/1/14 15:58,Kronos Mart,93,Transacted,1
1,18/1/14 16:04,1,93,Residential,1
1,18/1/14 18:25,1,94,Residential,1
1,18/1/14 18:29,Ouzeri Elian,94,Transacted,1
1,18/1/14 19:31,Ouzeri Elian,95,Transacted,1
1,18/1/14 19:37,1,95,Residential,1
1,19/1/14 18:26,1,96,Residential,1
1,19/1/14 18:31,Ouzeri Elian,96,Transacted,1
1,19/1/14 19:52,Ouzeri Elian,97,Transacted,1
1,19/1/14 19:56,1,97,Residential,1
2,6/1/14 7:30,2,1,Residential,2
2,6/1/14 7:34,Bean There,1,Transacted,2
2,6/1/14 8:11,Bean There,2,Transacted,2
2,6/1/14 8:31,GASTech,2,Office,2
2,6/1/14 12:17,GASTech,3,Office,2
2,6/1/14 12:20,Guy Gyros,3,Transacted,2
2,6/1/14 13:26,Guy Gyros,4,Transacted,2
2,6/1/14 13:29,GASTech,4,Office,2
2,6/1/14 17:17,GASTech,5,Office,2
2,6/1/14 17:27,2,5,Residential,2
2,6/1/14 18:55,2,6,Residential,2
2,6/1/14 19:00,Hippokampos,6,Transacted,2
2,6/1/14 20:49,Hippokampos,7,Transacted,2
2,6/1/14 20:52,2,7,Residential,2
2,7/1/14 8:02,2,8,Residential,2
2,7/1/14 8:06,Bean There,8,Transacted,2
2,7/1/14 8:18,Bean There,9,Transacted,2
2,7/1/14 8:38,GASTech,9,Office,2
2,7/1/14 12:05,GASTech,11,Office,2
2,7/1/14 12:13,Abila Zacharo,11,Transacted,2
2,7/1/14 13:24,Abila Zacharo,12,Transacted,2
2,7/1/14 13:32,GASTech,12,Office,2
2,7/1/14 17:31,GASTech,13,Office,2
2,7/1/14 17:41,2,13,Residential,2
2,7/1/14 18:47,2,14,Residential,2
2,7/1/14 18:49,Hippokampos,14,Transacted,2
2,7/1/14 20:10,Hippokampos,15,Transacted,2
2,7/1/14 20:12,2,15,Residential,2
2,8/1/14 7:43,2,16,Residential,2
2,8/1/14 7:47,Bean There,16,Transacted,2
2,8/1/14 8:06,Bean There,17,Transacted,2
2,8/1/14 8:26,GASTech,17,Office,2
2,8/1/14 12:01,GASTech,18,Office,2
2,8/1/14 12:09,Abila Zacharo,18,Transacted,2
2,8/1/14 13:43,Abila Zacharo,19,Transacted,2
2,8/1/14 13:51,GASTech,19,Office,2
2,8/1/14 17:07,GASTech,20,Office,2
2,8/1/14 17:17,2,20,Residential,2
2,8/1/14 18:17,2,21,Residential,2
2,8/1/14 18:20,Hippokampos,21,Transacted,2
2,8/1/14 19:25,Hippokampos,22,Transacted,2
2,8/1/14 19:27,2,22,Residential,2
2,9/1/14 8:01,2,23,Residential,2
2,9/1/14 8:05,Bean There,23,Transacted,2
2,9/1/14 8:22,Bean There,24,Transacted,2
2,9/1/14 8:42,GASTech,24,Office,2
2,9/1/14 12:18,GASTech,25,Office,2
2,9/1/14 12:21,Guy Gyros,25,Transacted,2
2,9/1/14 13:44,Guy Gyros,26,Transacted,2
2,9/1/14 13:47,GASTech,26,Office,2
2,9/1/14 17:19,GASTech,27,Office,2
2,9/1/14 17:29,2,27,Residential,2
2,10/1/14 7:42,2,28,Residential,2
2,10/1/14 7:46,Bean There,28,Transacted,2
2,10/1/14 8:12,Bean There,29,Transacted,2
2,10/1/14 8:32,GASTech,29,Office,2
2,10/1/14 12:09,GASTech,31,Office,2
2,10/1/14 12:15,Gelatogalore,31,Transacted,2
2,10/1/14 13:44,Gelatogalore,32,Transacted,2
2,10/1/14 13:50,GASTech,32,Office,2
2,10/1/14 17:06,GASTech,33,Office,2
2,10/1/14 17:16,2,33,Residential,2
2,10/1/14 18:42,2,34,Residential,2
2,10/1/14 18:44,Hippokampos,34,Transacted,2
2,10/1/14 19:50,Hippokampos,35,Transacted,2
2,10/1/14 19:52,2,35,Residential,2
2,11/1/14 18:12,2,36,Residential,2
2,11/1/14 18:14,Hippokampos,36,Transacted,2
2,11/1/14 20:29,Hippokampos,37,Transacted,2
2,11/1/14 20:34,2,37,Residential,2
2,12/1/14 18:28,2,38,Residential,2
2,12/1/14 18:30,Hippokampos,38,Transacted,2
2,12/1/14 19:30,Hippokampos,39,Transacted,2
2,12/1/14 19:32,2,39,Residential,2
2,13/1/14 7:39,2,40,Residential,2
2,13/1/14 7:43,Bean There,40,Transacted,2
2,13/1/14 8:02,Bean There,41,Transacted,2
2,13/1/14 8:22,GASTech,41,Office,2
2,13/1/14 11:58,GASTech,42,Office,2
2,13/1/14 12:04,Gelatogalore,42,Transacted,2
2,13/1/14 13:43,Gelatogalore,43,Transacted,2
2,13/1/14 13:49,GASTech,43,Office,2
2,13/1/14 17:18,GASTech,44,Office,2
2,13/1/14 17:28,2,44,Residential,2
2,13/1/14 18:39,2,45,Residential,2
2,13/1/14 18:41,Hippokampos,45,Transacted,2
2,13/1/14 20:48,Hippokampos,46,Transacted,2
2,13/1/14 20:50,2,46,Residential,2
2,14/1/14 7:49,2,47,Residential,2
2,14/1/14 7:53,Bean There,47,Transacted,2
2,14/1/14 8:29,Bean There,48,Transacted,2
2,14/1/14 8:49,GASTech,48,Office,2
2,14/1/14 12:00,GASTech,49,Office,2
2,14/1/14 12:03,Guy Gyros,49,Transacted,2
2,14/1/14 13:39,Guy Gyros,50,Transacted,2
2,14/1/14 13:42,GASTech,50,Office,2
2,14/1/14 17:21,GASTech,51,Office,2
2,14/1/14 17:31,2,51,Residential,2
2,14/1/14 18:23,2,52,Residential,2
2,14/1/14 18:28,Hippokampos,52,Transacted,2
2,14/1/14 19:45,Hippokampos,53,Transacted,2
2,14/1/14 19:47,2,53,Residential,2
2,15/1/14 8:10,2,55,Residential,2
2,15/1/14 8:28,GASTech,55,Office,2
2,15/1/14 12:18,GASTech,56,Office,2
2,15/1/14 12:21,Guy Gyros,56,Transacted,2
2,15/1/14 13:28,Guy Gyros,57,Transacted,2
2,15/1/14 13:31,GASTech,57,Office,2
2,15/1/14 17:17,GASTech,58,Office,2
2,15/1/14 17:27,2,58,Residential,2
2,15/1/14 18:34,2,59,Residential,2
2,15/1/14 18:39,Hippokampos,59,Transacted,2
2,15/1/14 19:58,Hippokampos,60,Transacted,2
2,15/1/14 20:00,2,60,Residential,2
2,16/1/14 7:56,2,61,Residential,2
2,16/1/14 8:00,Bean There,61,Transacted,2
2,16/1/14 8:26,Bean There,62,Transacted,2
2,16/1/14 8:47,GASTech,62,Office,2
2,16/1/14 11:59,GASTech,63,Office,2
2,16/1/14 12:08,Hippokampos,63,Transacted,2
2,16/1/14 13:46,Hippokampos,64,Transacted,2
2,16/1/14 13:55,GASTech,64,Office,2
2,16/1/14 17:20,GASTech,65,Office,2
2,16/1/14 17:30,2,65,Residential,2
2,16/1/14 18:50,2,66,Residential,2
2,16/1/14 18:55,Kronos Mart,66,Transacted,2
2,16/1/14 20:15,Kronos Mart,67,Transacted,2
2,16/1/14 20:20,2,67,Residential,2
2,17/1/14 7:31,2,68,Residential,2
2,17/1/14 7:35,Bean There,68,Transacted,2
2,17/1/14 8:09,Bean There,69,Transacted,2
2,17/1/14 8:29,GASTech,69,Office,2
2,17/1/14 12:24,GASTech,70,Office,2
2,17/1/14 12:26,Ouzeri Elian,70,Transacted,2
2,17/1/14 13:41,Ouzeri Elian,71,Transacted,2
2,17/1/14 13:43,GASTech,71,Office,2
2,17/1/14 17:12,GASTech,72,Office,2
2,17/1/14 17:22,2,72,Residential,2
2,18/1/14 18:23,2,73,Residential,2
2,18/1/14 18:25,Hippokampos,73,Transacted,2
2,18/1/14 20:19,Hippokampos,74,Transacted,2
2,18/1/14 20:21,2,74,Residential,2
2,19/1/14 18:16,2,75,Residential,2
2,19/1/14 18:18,Hippokampos,75,Transacted,2
2,19/1/14 20:25,Hippokampos,76,Transacted,2
2,19/1/14 20:27,2,76,Residential,2
3,6/1/14 7:19,3,1,Residential,3
3,6/1/14 7:22,Bean There,1,Transacted,3
3,6/1/14 7:47,Bean There,2,Transacted,3
3,6/1/14 8:07,GASTech,2,Office,3
3,6/1/14 12:09,GASTech,3,Office,3
3,6/1/14 12:12,Guy Gyros,3,Transacted,3
3,6/1/14 13:50,Guy Gyros,4,Transacted,3
3,6/1/14 13:53,GASTech,4,Office,3
3,6/1/14 17:36,GASTech,5,Office,3
3,6/1/14 17:47,3,5,Residential,3
3,7/1/14 7:55,3,6,Residential,3
3,7/1/14 8:14,GASTech,6,Office,3
3,7/1/14 12:11,GASTech,7,Office,3
3,7/1/14 12:14,Guy Gyros,7,Transacted,3
3,7/1/14 13:54,Guy Gyros,8,Transacted,3
3,7/1/14 13:57,GASTech,8,Office,3
3,7/1/14 17:44,GASTech,9,Office,3
3,7/1/14 17:55,3,9,Residential,3
3,8/1/14 7:03,3,10,Residential,3
3,8/1/14 7:06,Bean There,10,Transacted,3
3,8/1/14 7:45,Bean There,11,Transacted,3
3,8/1/14 8:05,GASTech,11,Office,3
3,8/1/14 12:13,GASTech,12,Office,3
3,8/1/14 12:22,Hippokampos,12,Transacted,3
3,8/1/14 13:52,Hippokampos,13,Transacted,3
3,8/1/14 14:01,GASTech,13,Office,3
3,8/1/14 17:37,GASTech,14,Office,3
3,8/1/14 17:48,3,14,Residential,3
3,8/1/14 18:56,3,15,Residential,3
3,8/1/14 18:58,Albert Clothing,15,Transacted,3
3,8/1/14 20:53,Albert Clothing,16,Transacted,3
3,8/1/14 20:56,3,16,Residential,3
3,9/1/14 7:42,3,17,Residential,3
3,9/1/14 8:01,GASTech,17,Office,3
3,9/1/14 12:16,GASTech,18,Office,3
3,9/1/14 12:25,Hippokampos,18,Transacted,3
3,9/1/14 13:47,Hippokampos,19,Transacted,3
3,9/1/14 13:56,GASTech,19,Office,3
3,9/1/14 17:43,GASTech,20,Office,3
3,9/1/14 17:54,3,20,Residential,3
3,9/1/14 19:45,3,21,Residential,3
3,9/1/14 19:47,Hippokampos,21,Transacted,3
3,9/1/14 21:44,Hippokampos,22,Transacted,3
3,9/1/14 21:46,3,22,Residential,3
3,10/1/14 7:40,3,24,Residential,3
3,10/1/14 7:43,Bean There,24,Transacted,3
3,10/1/14 8:04,Bean There,25,Transacted,3
3,10/1/14 8:24,GASTech,25,Office,3
3,10/1/14 12:23,GASTech,26,Office,3
3,10/1/14 12:26,Guy Gyros,26,Transacted,3
3,10/1/14 13:52,Guy Gyros,27,Transacted,3
3,10/1/14 13:55,GASTech,27,Office,3
3,10/1/14 17:44,GASTech,28,Office,3
3,10/1/14 17:55,3,28,Residential,3
3,10/1/14 19:03,3,29,Residential,3
3,10/1/14 19:03,2,29,Residential,3
3,11/1/14 0:29,2,30,Residential,3
3,11/1/14 0:29,3,30,Residential,3
3,11/1/14 18:08,3,31,Residential,3
3,11/1/14 18:11,Hippokampos,31,Transacted,3
3,11/1/14 20:04,Hippokampos,32,Transacted,3
3,11/1/14 20:07,3,32,Residential,3
3,12/1/14 18:35,3,33,Residential,3
3,12/1/14 18:37,Hippokampos,33,Transacted,3
3,12/1/14 20:12,Hippokampos,34,Transacted,3
3,12/1/14 20:14,3,34,Residential,3
3,13/1/14 7:06,3,35,Residential,3
3,13/1/14 7:09,Bean There,35,Transacted,3
3,13/1/14 7:39,Bean There,36,Transacted,3
3,13/1/14 7:59,GASTech,36,Office,3
3,13/1/14 12:09,GASTech,37,Office,3
3,13/1/14 12:17,Abila Zacharo,37,Transacted,3
3,13/1/14 13:43,Abila Zacharo,38,Transacted,3
3,13/1/14 13:51,GASTech,38,Office,3
3,13/1/14 17:56,GASTech,39,Office,3
3,13/1/14 18:07,3,39,Residential,3
3,14/1/14 7:39,3,40,Residential,3
3,14/1/14 7:42,Bean There,40,Transacted,3
3,14/1/14 8:03,Bean There,41,Transacted,3
3,14/1/14 8:23,GASTech,41,Office,3
3,14/1/14 11:58,GASTech,42,Office,3
3,14/1/14 12:06,Kalami Kafenion,42,Transacted,3
3,14/1/14 13:31,Kalami Kafenion,43,Transacted,3
3,14/1/14 13:39,GASTech,43,Office,3
3,14/1/14 17:29,GASTech,44,Office,3
3,14/1/14 17:40,3,44,Residential,3
3,14/1/14 19:18,3,45,Residential,3
3,14/1/14 19:20,Albert Clothing,45,Transacted,3
3,14/1/14 20:58,Albert Clothing,46,Transacted,3
3,14/1/14 21:00,3,46,Residential,3
3,15/1/14 7:21,3,48,Residential,3
3,15/1/14 7:24,Bean There,48,Transacted,3
3,15/1/14 8:05,Bean There,49,Transacted,3
3,15/1/14 8:25,GASTech,49,Office,3
3,15/1/14 11:54,GASTech,50,Office,3
3,15/1/14 12:02,Abila Zacharo,50,Transacted,3
3,15/1/14 13:54,Abila Zacharo,51,Transacted,3
3,15/1/14 14:02,GASTech,51,Office,3
3,15/1/14 17:55,GASTech,52,Office,3
3,15/1/14 18:06,3,52,Residential,3
3,15/1/14 18:49,3,53,Residential,3
3,15/1/14 18:51,Hippokampos,53,Transacted,3
3,15/1/14 20:17,Hippokampos,54,Transacted,3
3,15/1/14 20:20,3,54,Residential,3
3,16/1/14 7:24,3,55,Residential,3
3,16/1/14 7:27,Bean There,55,Transacted,3
3,16/1/14 8:01,Bean There,56,Transacted,3
3,16/1/14 8:21,GASTech,56,Office,3
3,16/1/14 12:13,GASTech,57,Office,3
3,16/1/14 12:21,Kalami Kafenion,57,Transacted,3
3,16/1/14 13:52,Kalami Kafenion,58,Transacted,3
3,16/1/14 14:00,GASTech,58,Office,3
3,16/1/14 17:29,GASTech,59,Office,3
3,16/1/14 17:40,3,59,Residential,3
3,16/1/14 18:37,3,60,Residential,3
3,16/1/14 18:39,Hippokampos,60,Transacted,3
3,16/1/14 20:18,Hippokampos,61,Transacted,3
3,16/1/14 20:20,3,61,Residential,3
3,17/1/14 7:01,3,62,Residential,3
3,17/1/14 7:04,Bean There,62,Transacted,3
3,17/1/14 7:48,Bean There,63,Transacted,3
3,17/1/14 8:08,GASTech,63,Office,3
3,17/1/14 12:15,GASTech,64,Office,3
3,17/1/14 12:21,Gelatogalore,64,Transacted,3
3,17/1/14 13:37,Gelatogalore,65,Transacted,3
3,17/1/14 13:43,GASTech,65,Office,3
3,17/1/14 17:57,GASTech,66,Office,3
3,17/1/14 18:08,3,66,Residential,3
3,17/1/14 19:46,3,67,Residential,3
3,17/1/14 19:48,Hippokampos,67,Transacted,3
3,17/1/14 21:59,Hippokampos,68,Transacted,3
3,17/1/14 22:01,3,68,Residential,3
3,18/1/14 18:00,3,70,Residential,3
3,18/1/14 18:07,Frank Fuel,70,Transacted,3
3,18/1/14 18:40,Frank Fuel,71,Transacted,3
3,18/1/14 18:43,Kalami Kafenion,71,Transacted,3
3,18/1/14 19:44,Kalami Kafenion,72,Transacted,3
3,18/1/14 19:49,3,72,Residential,3
3,19/1/14 18:21,3,73,Residential,3
3,19/1/14 18:23,Hippokampos,73,Transacted,3
3,19/1/14 19:47,Hippokampos,74,Transacted,3
3,19/1/14 19:49,3,74,Residential,3
4,6/1/14 6:33,4,1,Residential,4
4,6/1/14 6:35,Brewed Awakenings,1,Transacted,4
4,6/1/14 7:15,Brewed Awakenings,3,Transacted,4
4,6/1/14 7:28,GASTech,3,Office,4
4,6/1/14 12:34,GASTech,4,Office,4
4,6/1/14 12:42,Abila Zacharo,4,Transacted,4
4,6/1/14 13:29,Abila Zacharo,6,Transacted,4
4,6/1/14 13:37,GASTech,6,Office,4
4,6/1/14 18:20,GASTech,7,Office,4
4,6/1/14 18:28,4,7,Residential,4
4,6/1/14 19:54,4,8,Residential,4
4,6/1/14 19:57,Hippokampos,8,Transacted,4
4,6/1/14 20:52,Hippokampos,9,Transacted,4
4,6/1/14 20:56,4,9,Residential,4
4,7/1/14 6:42,4,10,Residential,4
4,7/1/14 6:44,Brewed Awakenings,10,Transacted,4
4,7/1/14 7:07,Brewed Awakenings,12,Transacted,4
4,7/1/14 7:20,GASTech,12,Office,4
4,7/1/14 12:09,GASTech,13,Office,4
4,7/1/14 12:17,Abila Zacharo,13,Transacted,4
4,7/1/14 13:39,Abila Zacharo,14,Transacted,4
4,7/1/14 13:47,GASTech,14,Office,4
4,7/1/14 18:22,GASTech,15,Office,4
4,7/1/14 18:29,4,15,Residential,4
4,7/1/14 19:30,4,16,Residential,4
4,7/1/14 19:33,Hippokampos,16,Transacted,4
4,7/1/14 21:25,Hippokampos,17,Transacted,4
4,7/1/14 21:28,4,17,Residential,4
4,8/1/14 6:22,4,18,Residential,4
4,8/1/14 6:24,Brewed Awakenings,18,Transacted,4
4,8/1/14 7:06,Brewed Awakenings,19,Transacted,4
4,8/1/14 7:19,GASTech,19,Office,4
4,8/1/14 12:32,GASTech,20,Office,4
4,8/1/14 12:34,Ouzeri Elian,20,Transacted,4
4,8/1/14 13:34,Ouzeri Elian,21,Transacted,4
4,8/1/14 13:36,GASTech,21,Office,4
4,8/1/14 18:05,GASTech,22,Office,4
4,8/1/14 18:17,4,22,Residential,4
4,8/1/14 19:14,4,23,Residential,4
4,8/1/14 19:18,Hippokampos,23,Transacted,4
4,8/1/14 21:02,Hippokampos,24,Transacted,4
4,8/1/14 21:05,4,24,Residential,4
4,9/1/14 6:56,4,25,Residential,4
4,9/1/14 6:59,Brewed Awakenings,25,Transacted,4
4,9/1/14 7:15,Brewed Awakenings,26,Transacted,4
4,9/1/14 7:29,GASTech,26,Office,4
4,9/1/14 12:28,GASTech,27,Office,4
4,9/1/14 12:30,Ouzeri Elian,27,Transacted,4
4,9/1/14 13:22,Ouzeri Elian,28,Transacted,4
4,9/1/14 13:24,GASTech,28,Office,4
4,9/1/14 17:58,GASTech,29,Office,4
4,9/1/14 18:05,4,29,Residential,4
4,9/1/14 19:53,4,30,Residential,4
4,9/1/14 19:59,Kronos Mart,30,Transacted,4
4,9/1/14 21:40,Kronos Mart,31,Transacted,4
4,9/1/14 21:46,4,31,Residential,4
4,10/1/14 6:46,4,32,Residential,4
4,10/1/14 6:48,Brewed Awakenings,32,Transacted,4
4,10/1/14 7:31,Brewed Awakenings,34,Transacted,4
4,10/1/14 7:44,GASTech,34,Office,4
4,10/1/14 12:24,GASTech,35,Office,4
4,10/1/14 12:27,Katerina Cafe,35,Transacted,4
4,10/1/14 13:34,Katerina Cafe,36,Transacted,4
4,10/1/14 13:37,GASTech,36,Office,4
4,10/1/14 18:02,GASTech,37,Office,4
4,10/1/14 18:13,4,37,Residential,4
4,10/1/14 19:41,4,38,Residential,4
4,10/1/14 19:48,Hippokampos,38,Transacted,4
4,10/1/14 20:11,Hippokampos,39,Transacted,4
4,10/1/14 20:14,4,39,Residential,4
4,11/1/14 12:58,4,40,Residential,4
4,11/1/14 13:01,Hippokampos,40,Transacted,4
4,11/1/14 13:48,Hippokampos,41,Transacted,4
4,11/1/14 13:59,Frydos Autosupply,41,Transacted,4
4,11/1/14 16:11,Frydos Autosupply,42,Transacted,4
4,11/1/14 16:20,4,42,Residential,4
4,11/1/14 18:25,4,43,Residential,4
4,11/1/14 18:28,Hippokampos,43,Transacted,4
4,11/1/14 19:27,Hippokampos,44,Transacted,4
4,11/1/14 19:31,4,44,Residential,4
4,12/1/14 13:01,4,45,Residential,4
4,12/1/14 13:06,Desafio Golf Course,45,Transacted,4
4,12/1/14 16:05,Desafio Golf Course,46,Transacted,4
4,12/1/14 16:11,4,46,Residential,4
4,12/1/14 18:40,4,47,Residential,4
4,12/1/14 18:43,Hippokampos,47,Transacted,4
4,12/1/14 20:46,Hippokampos,48,Transacted,4
4,12/1/14 20:53,4,48,Residential,4
